time, 4.55, pitch_cmd, 27.254137, roll_cmd, 0.438169, theta, -31.297800, phi, 2.985452, p, 91.091606, q, 49.022899, r, -26.511449
time, 4.62, pitch_cmd, 25.851997, roll_cmd, -5.696203, theta, -29.541677, phi, 2.699950, p, -92.290077, q, -44.412212, r, 23.160305
time, 4.73, pitch_cmd, 27.078870, roll_cmd, 0.613437, theta, -28.131099, phi, 3.653273, p, -108.145034, q, -33.809162, r, 35.992366
time, 4.80, pitch_cmd, 29.707887, roll_cmd, -0.438169, theta, -32.479309, phi, -12.231949, p, 132.847335, q, 67.541984, r, -16.274808
time, 4.86, pitch_cmd, 26.202531, roll_cmd, -3.067186, theta, -25.256175, phi, 15.425249, p, -34.122138, q, 7.015267, r, 9.618321
time, 4.93, pitch_cmd, 25.851997, roll_cmd, 0.613437, theta, -29.558820, phi, -8.596279, p, 59.679389, q, 34.221374, r, 4.267176
time, 5.00, pitch_cmd, 25.501461, roll_cmd, -0.613437, theta, -23.268400, phi, 14.201055, p, 7.480916, q, -0.274809, r, 25.778625
time, 5.06, pitch_cmd, 29.532621, roll_cmd, -4.469328, theta, -29.842206, phi, -13.489462, p, -22.748090, q, 9.022901, r, 21.221374
time, 5.22, pitch_cmd, 25.851997, roll_cmd, -0.438169, theta, -22.671915, phi, 11.142690, p, -13.045802, q, 6.793893, r, 7.458015
time, 5.28, pitch_cmd, 30.233690, roll_cmd, -4.644596, theta, -27.165357, phi, -6.990302, p, 81.221374, q, 44.038166, r, -45.931297
time, 7.50, pitch_cmd, -28.130477, roll_cmd, -20.769231, theta, 19.868837, phi, 6.877239, p, -35.068702, q, 17.587785, r, -5.282443
time, 7.57, pitch_cmd, -27.955207, roll_cmd, -13.057450, theta, 20.561454, phi, 3.896219, p, -133.305343, q, -42.793891, r, 20.526718
time, 7.64, pitch_cmd, -28.130477, roll_cmd, -14.109056, theta, 14.978986, phi, -5.703666, p, -88.702293, q, -19.106870, r, -25.381679
time, 7.70, pitch_cmd, -24.625122, roll_cmd, -18.140214, theta, 13.473803, phi, -9.711485, p, 16.267175, q, 11.229008, r, 23.816793
time, 7.88, pitch_cmd, -31.110031, roll_cmd, -11.655307, theta, 13.944738, phi, -12.869976, p, -81.267173, q, -2.984733, r, -74.083969
time, 7.95, pitch_cmd, -29.883155, roll_cmd, -14.985395, theta, 18.153373, phi, 3.142184, p, 63.015266, q, -2.778626, r, 66.045799
time, 8.01, pitch_cmd, -30.233690, roll_cmd, -12.181111, theta, 13.375860, phi, -5.335964, p, -51.954196, q, 6.503817, r, -53.992366
time, 8.08, pitch_cmd, -29.182083, roll_cmd, -10.954236, theta, 12.488268, phi, -16.204591, p, 86.190841, q, -2.740458, r, 78.366409
time, 8.14, pitch_cmd, -27.429407, roll_cmd, -17.088607, theta, 17.551904, phi, 4.728537, p, -47.625953, q, 2.511450, r, -59.526718
time, 8.21, pitch_cmd, -30.408956, roll_cmd, -10.954236, theta, 9.335860, phi, -30.966699, p, 50.519084, q, 8.175573, r, 25.564886
time, 10.67, pitch_cmd, -29.532621, roll_cmd, 40.048683, theta, -2.819929, phi, -35.838161, p, -22.885496, q, -4.763359, r, 6.213740
